Player Name,Salary,Position,Age,Team,GP,MP,PTS,AST,TRB,WS,PER,USG%,BPM,VORP,log_salary,salary_per_WS,pts_per_dollar,PER_salary_ratio,IF_label,IF_score,LOF_label,LOF_score
Grant Williams,4306281,PF,24,BOS,79,25.9,8.1,1.7,4.6,4.4,10.3,13.1,-1.1,0.5,15.275585212557091,797459.4444444444,1.8809733967662583,2.391855060085489,1,0.10440494864115563,1,-1.028670399104151
Darius Bazley,4264628,C,22,OKC/PHO,43,14.3,5.2,0.9,3.2,1.0,13.1,16.4,-1.0,0.2,15.265865513532969,2132314.0,1.219332612363845,3.0717802349935326,1,0.11681490065184846,1,-0.9833010158005806
Tyrese Haliburton,4215120,PG,22,IND,56,33.6,20.7,10.4,3.7,7.6,23.6,23.8,7.2,4.4,15.254188618763727,490130.23255813954,4.910892216591699,5.598891609254304,-1,-0.11355193161293098,-1,-1.6104298676542292
Nassir Little,4171548,SF,22,POR,54,18.1,6.6,0.9,2.6,0.7,10.2,16.0,-3.0,-0.3,15.24379774791035,2453851.7647058824,1.5821464837513557,2.445135474888459,1,0.12236330934974521,1,-0.9600133738490844
Jalen Duren,4124280,C,19,DET,67,24.9,9.1,1.1,8.9,4.5,17.3,14.3,-0.8,0.5,15.232402017061542,749869.0909090909,2.2064457311336767,4.194671554792595,1,0.061948370584072265,1,-1.1312344545594384
Justise Winslow,4097561,PF,26,POR,29,26.8,6.8,3.4,5.0,0.4,9.3,14.2,-2.8,-0.2,15.225902476615607,2926829.285714286,1.6595237996456917,2.2696428436330787,1,0.08865550788449666,1,-1.150200919236032
George Hill,4000000,PG-SG,36,MIL/IND,46,18.1,5.0,2.4,1.8,1.9,10.6,11.3,-1.5,0.1,15.201804919084164,1379310.3448275863,1.25,2.65,1,0.11064361858509614,1,-1.0092078058842078
Terence Davis,4000000,SG,25,SAC,64,13.1,6.7,1.0,2.2,0.9,12.9,22.2,-1.5,0.1,15.201804919084164,2105263.157894737,1.675,3.225,1,0.11303674443286393,1,-0.9954832806566449
Chris Duarte,3936960,SF,25,IND,46,19.5,7.9,1.4,2.5,0.0,8.6,19.0,-4.5,-0.6,15.185919409853941,3936960.0,2.006624400552711,2.1844265626270016,1,0.0920989445164283,1,-0.9992644618523941
Ochai Agbaji,3918360,SG,22,UTA,59,20.5,7.9,1.1,2.1,1.3,9.5,15.8,-3.0,-0.3,15.18118375687967,1703634.7826086958,2.0161496136138592,2.424483712573628,1,0.11881409848611024,1,-0.9651370368521803
Jordan Poole,3901399,PG,23,GSW,82,30.0,20.4,4.5,2.7,3.2,14.6,29.2,-1.9,0.1,15.176845764724693,928904.5238095238,5.228893532807077,3.7422473323031045,1,0.013335316465891867,-1,-1.2640189980022867
Keldon Johnson,3873024,SF,23,SAS,63,32.7,22.0,2.9,5.0,1.3,15.3,27.9,-1.8,0.1,15.169546155224397,1683923.4782608696,5.680315949500958,3.950401546698394,1,0.020491568856665143,-1,-1.2976174290578197
Aaron Nesmith,3804360,SF,23,IND,73,24.9,10.1,1.3,3.8,2.0,10.5,16.8,-3.0,-0.4,15.151658335393574,1268120.0,2.6548486473414714,2.7599911680282623,1,0.11663146665229795,1,-0.9768268849434694
Moses Moody,3740160,SG,20,GSW,63,13.0,4.8,0.8,1.7,1.3,10.3,14.6,-2.6,-0.1,15.134638949224307,1626156.5217391306,1.2833675564681724,2.7538928815879538,1,0.11497616233129204,1,-0.9638269118548394
Mark Williams,3722040,C,21,CHO,43,19.3,9.0,0.4,7.1,2.8,19.8,17.0,0.1,0.4,15.129782463036848,979484.2105263158,2.4180288229035694,5.319663410387852,1,0.06438069194994439,1,-1.1219421089652903
Cole Anthony,3613680,PG,22,ORL,60,25.9,13.0,3.9,4.8,3.7,16.0,21.5,1.3,1.3,15.100237201665035,768868.085106383,3.59744083593456,4.427619490380996,1,0.07725599099652453,1,-1.1516084635843622
Corey Kispert,3552840,SF,23,WAS,74,28.3,11.1,1.2,2.8,3.8,11.5,14.1,-1.5,0.2,15.083257841622164,740175.0,3.124261154456716,3.236847142004706,1,0.10423054208290589,1,-1.057255769585315
AJ Griffin,3536160,SF,19,ATL,72,19.5,8.9,1.0,2.1,2.2,12.6,17.9,-0.8,0.4,15.07855195058475,1105050.0,2.5168544409755214,3.5631871861001763,1,0.120397287784202,1,-0.9871006145548155
Mike Muscala,3500000,C,31,BOS/OKC,63,15.0,6.1,0.8,3.2,2.5,13.0,15.1,-0.4,0.4,15.068273526459642,1000000.0,1.7428571428571427,3.7142857142857144,1,0.12283916454091215,1,-0.9853179026345413
Georges Niang,3465000,PF,29,PHI,78,19.4,8.2,1.0,2.4,2.5,10.9,17.0,-1.4,0.2,15.05822319060614,990000.0,2.3665223665223665,3.145743145743146,1,0.12556627237000478,1,-0.9603162077251151
Isaiah Stewart,3433320,C,21,DET,50,28.3,11.3,1.4,8.1,2.0,13.1,17.3,-2.1,0.0,15.049038281029068,1144440.0,3.2912749175724954,3.81554879824776,1,0.0763314845949375,1,-1.2237929697107177
Chuma Okeke,3433320,SF,24,ORL,27,19.2,4.7,1.4,3.6,0.7,9.1,12.3,-1.6,0.1,15.049038281029068,2019600.0,1.3689373550965247,2.6504957300805048,1,0.11059859881605799,1,-0.9873542415743642
Amir Coffey,3395062,SF,25,LAC,50,12.5,3.4,1.1,1.1,0.4,7.0,13.5,-5.0,-0.5,15.037832580958403,2425044.285714286,1.0014544653381883,2.0618180168727407,1,0.0547479878022466,1,-1.0413409649852843
Tari Eason,3359160,PF,21,HOU,82,21.5,9.3,1.1,6.0,2.6,15.2,19.3,-1.7,0.1,15.027201500684178,933100.0,2.7685492801771874,4.524940758999273,1,0.10710259395230842,1,-1.0638035573614888
Aleksej Pokusevski,3261480,PF,21,OKC,34,20.6,8.1,1.9,4.7,1.0,13.4,18.3,0.0,0.3,14.997691638051702,1630740.0,2.483535082232606,4.1085642101132,1,0.11045638001615793,1,-1.0102886281691474
Simone Fontecchio,3205128,SF,27,UTA,52,14.7,6.3,0.8,1.7,-0.1,8.0,20.2,-5.2,-0.6,14.980262585136927,2913752.727272727,1.965600125798408,2.49600015974401,1,0.07950397368960377,1,-1.0310397187759406
Andre Drummond,3200000,C,29,CHI,67,12.7,6.0,0.5,6.6,2.8,20.8,21.0,-0.8,0.3,14.978661367769956,842105.2631578947,1.875,6.5,1,0.05431017249486664,1,-1.1865919252485988
Josh Green,3098400,SG,22,DAL,60,25.7,9.1,1.7,3.0,2.6,11.2,14.6,-2.4,-0.2,14.946396407182679,860666.6666666666,2.9369997418022207,3.614768912987348,1,0.11831598352738076,1,-0.9731279391135388
