Player Name,season,Team,Position,Age,Salary,fair_salary,residual_dollars,residual_pct,PTS,AST,TRB,WS,PER,VORP,IF_label,IF_score,LOF_label,LOF_score
Bruce Brown,2022-23,DEN,SF,26.0,6479000,9220421.212747686,-2741421.2127476856,-0.022169918019875348,11.5,3.4,4.1,4.3,13.3,0.9,1,0.08909985323608877,1,-1.0141361795964763
Dennis Smith Jr.,2023-24,BRK,PG,26.0,2019706,4763908.7582950415,-2744202.7582950415,-0.020174846224443592,6.6,3.6,2.9,1.8,13.4,0.3,1,0.05641123582548052,1,-0.9988217850075071
Troy Daniels,2019-20,2TM,SG,28.0,384541,3129452.557051317,-2744911.557051317,-0.025150371605747818,4.3,0.4,1.1,0.6,8.4,-0.1,1,0.03637578676902087,1,-1.0071041992141139
Collin Sexton,2024-25,UTA,SG,26.0,18350000,21101719.264263257,-2751719.2642632574,-0.019572931290460477,18.4,4.2,2.7,2.4,16.6,0.6,1,0.056304660760820524,1,-0.9949536333422968
Robert Covington,2019-20,2TM,C,29.0,11301219,14057431.236184303,-2756212.2361843027,-0.025253914570132888,12.4,1.3,6.6,3.7,13.3,1.1,1,0.05049012448775275,-1,-1.3229347582489492
Klay Thompson,2024-25,DAL,SF,34.0,15873016,18633810.672352657,-2760794.6723526567,-0.019637484510432304,14.0,2.0,3.4,1.8,12.9,0.5,1,0.06672615606687349,1,-1.0596699336795146
Scotty Pippen Jr.,2024-25,MEM,PG,24.0,2087519,4858707.09283217,-2771188.0928321704,-0.019711412729622513,9.9,4.4,3.3,4.7,15.8,1.7,1,0.04636339599390582,1,-1.0666930236091592
Jakob Poeltl,2022-23,2TM,C,27.0,9398148,12178297.164914606,-2780149.164914606,-0.022483111600134303,12.5,2.7,9.1,6.0,21.0,1.9,1,0.057508959923251224,1,-0.9892826700816435
Torrey Craig,2019-20,DEN,SF,29.0,2000000,4780511.766421157,-2780511.766421157,-0.0254765600734942,5.4,0.8,3.3,2.0,10.8,-0.1,1,0.08070863087176167,1,-1.0161975548818032
Garrett Temple,2020-21,CHI,SG,34.0,4767000,7551290.884451066,-2784290.884451066,-0.02551118640691833,7.6,2.2,2.9,1.6,8.2,-0.4,1,0.05406854526898791,1,-1.062626680761147
DeMarcus Cousins,2021-22,2TM,C,31.0,431684,3216671.000229711,-2784987.000229711,-0.024774378638156378,9.0,1.5,5.6,1.6,18.2,0.1,1,0.016117129247367246,-1,-1.2649825705293591
Trey Murphy III,2023-24,NOP,SF,23.0,3359280,6146456.505744483,-2787176.5057444833,-0.020490780877544523,14.8,2.2,4.9,5.4,16.3,1.9,1,0.07091379841251716,1,-1.1033481018826996
Pat Connaughton,2019-20,MIL,SG,27.0,1723050,4514733.055341865,-2791683.055341865,-0.025578917494427936,5.4,1.6,4.2,3.4,11.5,0.8,1,0.09374272834495989,-1,-1.1984430738479503
Patrick Beverley,2023-24,2TM,PG,35.0,2019706,4814682.570304216,-2794976.570304216,-0.020548125438750016,6.2,2.9,3.3,2.7,11.6,0.3,1,0.05036318350332181,1,-1.0565917963091382
Corey Kispert,2024-25,WAS,SF,25.0,5705888,8501915.087970067,-2796027.087970067,-0.01988809207023407,11.6,1.7,3.0,1.1,11.0,-0.7,1,0.08848208297690296,1,-1.0076224912721523
Draymond Green,2023-24,GSW,PF,33.0,22321429,25125235.300490066,-2803806.3004900664,-0.020613039901853897,8.6,6.0,7.2,3.6,14.5,1.6,1,0.01135133725604165,-1,-1.2874681978693079
Derrick Jones Jr.,2023-24,DAL,SF,26.0,2019706,4838761.410104039,-2819055.410104039,-0.0207251483969684,8.6,1.0,3.3,3.1,11.7,0.2,1,0.0956783204993078,1,-0.967823861953627
Rodney McGruder,2022-23,DET,SG,31.0,1836090,4656062.65342522,-2819972.6534252204,-0.02280516480065683,5.7,0.9,2.3,0.7,10.7,0.1,1,0.05720430050783837,1,-1.051943080013682
Precious Achiuwa,2023-24,2TM,C,24.0,4379527,7208041.908497945,-2828514.9084979454,-0.020794692793744678,7.6,1.3,6.6,3.4,14.6,0.2,1,0.07881732722540791,1,-0.9881248977552094
Wayne Ellington,2021-22,LAL,SG,34.0,1669178,4503357.988720418,-2834179.988720418,-0.025211984172081932,6.7,0.7,1.8,1.0,9.9,0.1,1,0.04236839922401303,1,-1.0290850946931327
Cam Thomas,2023-24,BRK,SG,22.0,2240160,5081595.735611669,-2841435.735611669,-0.02088968420767138,22.5,2.9,3.2,2.5,16.1,0.4,1,0.0518983991322865,1,-1.0051078881898063
