Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Myles Turner,C,26.0,IND,62.0,62.0,29.4,0.548,0.373,0.783,7.5,1.4,0.6,2.3,1.7,3.5,18.0,20.0,0.651,22.0,3.4,2.0,5.4,0.142,1.4,0.7,2.1,1.9,35096500,1823.0
Jordan Nwora,SF,24.0,2TM,62.0,14.0,19.2,0.436,0.408,0.791,3.7,1.4,0.4,0.2,1.1,1.2,8.7,12.2,0.561,19.4,0.5,1.0,1.5,0.06,-0.8,-1.3,-2.1,0.0,3000000,1190.0
Monte Morris,PG,27.0,WAS,62.0,61.0,27.3,0.48,0.382,0.831,3.4,5.3,0.7,0.2,1.0,1.2,10.3,15.0,0.579,15.6,3.1,1.1,4.2,0.12,0.8,-0.4,0.5,1.1,9125000,1693.0
Kevin Love,PF,34.0,2TM,62.0,20.0,20.0,0.389,0.334,0.879,6.4,1.9,0.3,0.2,1.1,1.6,8.2,13.1,0.548,19.2,0.6,2.0,2.6,0.099,0.2,0.4,0.6,0.8,3114138,1240.0
Lamar Stevens,SF,25.0,CLE,62.0,25.0,18.1,0.448,0.316,0.702,3.3,0.5,0.4,0.3,0.4,1.3,5.3,9.5,0.524,13.6,0.3,1.6,1.9,0.08,-3.0,0.2,-2.8,-0.2,1782621,1122.0
Jordan Goodwin,PG,24.0,WAS,62.0,7.0,17.8,0.448,0.322,0.768,3.3,2.7,0.9,0.4,0.9,1.5,6.6,14.8,0.531,17.3,0.9,1.3,2.2,0.097,-0.7,1.4,0.7,0.8,900000,1104.0
Cory Joseph,PG,31.0,DET,62.0,2.0,19.8,0.427,0.389,0.792,1.7,3.5,0.5,0.1,0.9,1.4,6.9,12.1,0.558,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2,5155500,1228.0
Trendon Watford,PF,22.0,POR,62.0,12.0,19.1,0.56,0.391,0.72,3.8,2.1,0.5,0.2,1.1,1.9,7.4,13.6,0.625,16.1,1.3,0.7,2.1,0.084,-1.4,-0.4,-1.8,0.1,1563518,1184.0
Jordan Clarkson,SG,30.0,UTA,61.0,61.0,32.6,0.444,0.338,0.816,4.0,4.4,0.5,0.2,3.0,2.0,20.8,14.7,0.558,27.8,0.9,0.8,1.7,0.042,1.0,-2.4,-1.4,0.3,13340000,1989.0
Bismack Biyombo,C,30.0,PHO,61.0,14.0,14.3,0.578,,0.357,4.3,0.9,0.3,1.4,0.8,1.9,4.3,14.4,0.555,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,1836090,872.0
Ja Morant,PG,23.0,MEM,61.0,59.0,31.9,0.466,0.307,0.748,5.9,8.1,1.1,0.3,3.4,1.6,26.2,23.3,0.557,34.9,3.4,2.6,6.0,0.148,5.2,0.5,5.7,3.8,9603360,1946.0
Jose Alvarado,PG,24.0,NOP,61.0,10.0,21.5,0.411,0.336,0.813,2.3,3.0,1.1,0.2,1.3,2.0,9.0,11.8,0.525,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,1563518,1312.0
Marcus Smart,PG,28.0,BOS,61.0,61.0,32.1,0.415,0.336,0.746,3.1,6.3,1.5,0.4,2.3,2.8,11.5,12.1,0.538,17.8,1.0,2.7,3.7,0.092,-1.8,0.8,-1.0,0.5,17207141,1958.0
Seth Curry,SG,32.0,BRK,61.0,7.0,19.9,0.463,0.405,0.927,1.6,1.6,0.6,0.1,0.8,1.6,9.2,12.3,0.593,19.2,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0.0,8496500,1214.0
